tijdstip;locatie;component;waarde;LKI
2015-08-04 08:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;18,59;2
2015-08-04 09:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;47,64;5
2015-08-04 09:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;31,9;3
2015-08-04 10:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;23,94;3
2015-08-04 10:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;10,93;2
2015-08-04 11:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;14,2;2
2015-08-04 11:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;26,73;3
2015-08-04 12:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;29,63;3
2015-08-04 12:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;14,03;2
2015-08-04 13:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;20,35;2
2015-08-04 13:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;24,37;3
2015-08-04 14:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;20,55;3
2015-08-04 14:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;15,61;2
2015-08-04 15:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;15,87;2
2015-08-04 15:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;17,09;2
2015-08-04 16:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;13,32;2
2015-08-04 16:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;14,84;2
2015-08-04 17:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;12,85;2
2015-08-04 17:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;18,12;2
2015-08-04 18:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;12,25;2
2015-08-04 18:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;20,42;3
2015-08-04 19:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;12,96;2
2015-08-04 19:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;21,44;3
