tijdstip;locatie;component;waarde;LKI
2015-08-03 09:00:00+02:00;Den Haag-Bleriotlaan;O3;40,92;4
2015-08-03 10:00:00+02:00;Den Haag-Bleriotlaan;O3;63,7;5
2015-08-03 10:00:00+02:00;Den Haag-Bleriotlaan;PM10;23,63;3
2015-08-03 10:00:00+02:00;Den Haag-Bleriotlaan;NO2;44,68;4
2015-08-03 10:00:00+02:00;Den Haag-Bleriotlaan;NO;8,86;1
2015-08-03 11:00:00+02:00;Den Haag-Bleriotlaan;PM10;22,35;3
2015-08-03 11:00:00+02:00;Den Haag-Bleriotlaan;NO;6,71;1
2015-08-03 11:00:00+02:00;Den Haag-Bleriotlaan;O3;80,27;6
2015-08-03 11:00:00+02:00;Den Haag-Bleriotlaan;NO2;36,88;4
2015-08-03 12:00:00+02:00;Den Haag-Bleriotlaan;NO2;29,95;3
2015-08-03 12:00:00+02:00;Den Haag-Bleriotlaan;NO;4,91;1
2015-08-03 12:00:00+02:00;Den Haag-Bleriotlaan;PM10;28,75;3
2015-08-03 12:00:00+02:00;Den Haag-Bleriotlaan;O3;94,84;6
2015-08-03 13:00:00+02:00;Den Haag-Bleriotlaan;NO;3,52;1
2015-08-03 13:00:00+02:00;Den Haag-Bleriotlaan;NO2;23,86;3
2015-08-03 13:00:00+02:00;Den Haag-Bleriotlaan;PM10;24,91;3
2015-08-03 13:00:00+02:00;Den Haag-Bleriotlaan;O3;108,19;7
2015-08-03 14:00:00+02:00;Den Haag-Bleriotlaan;O3;112,94;7
2015-08-03 14:00:00+02:00;Den Haag-Bleriotlaan;PM10;37,71;4
2015-08-03 14:00:00+02:00;Den Haag-Bleriotlaan;NO2;14,7;2
2015-08-03 14:00:00+02:00;Den Haag-Bleriotlaan;NO;2,39;1
2015-08-03 15:00:00+02:00;Den Haag-Bleriotlaan;NO;2,72;1
2015-08-03 15:00:00+02:00;Den Haag-Bleriotlaan;PM10;15,95;2
2015-08-03 15:00:00+02:00;Den Haag-Bleriotlaan;O3;102,77;7
2015-08-03 15:00:00+02:00;Den Haag-Bleriotlaan;NO2;15,38;2
2015-08-03 16:00:00+02:00;Den Haag-Bleriotlaan;NO2;19,84;2
2015-08-03 16:00:00+02:00;Den Haag-Bleriotlaan;NO;4,51;1
2015-08-03 16:00:00+02:00;Den Haag-Bleriotlaan;O3;89,78;6
2015-08-03 16:00:00+02:00;Den Haag-Bleriotlaan;PM10;18,51;2
2015-08-03 17:00:00+02:00;Den Haag-Bleriotlaan;O3;68,54;5
2015-08-03 17:00:00+02:00;Den Haag-Bleriotlaan;NO2;20,28;3
2015-08-03 17:00:00+02:00;Den Haag-Bleriotlaan;PM10;8,27;1
2015-08-03 17:00:00+02:00;Den Haag-Bleriotlaan;NO;5,41;1
2015-08-03 18:00:00+02:00;Den Haag-Bleriotlaan;NO;5,06;1
2015-08-03 18:00:00+02:00;Den Haag-Bleriotlaan;O3;67,87;5
2015-08-03 18:00:00+02:00;Den Haag-Bleriotlaan;NO2;21,01;3
2015-08-03 18:00:00+02:00;Den Haag-Bleriotlaan;PM10;14,67;2
2015-08-03 19:00:00+02:00;Den Haag-Bleriotlaan;PM10;22,35;3
2015-08-03 19:00:00+02:00;Den Haag-Bleriotlaan;NO2;13,31;2
2015-08-03 19:00:00+02:00;Den Haag-Bleriotlaan;NO;2,18;1
2015-08-03 19:00:00+02:00;Den Haag-Bleriotlaan;O3;72,91;5
2015-08-03 20:00:00+02:00;Den Haag-Bleriotlaan;NO;2,0;1
2015-08-03 20:00:00+02:00;Den Haag-Bleriotlaan;PM10;8,27;1
2015-08-03 20:00:00+02:00;Den Haag-Bleriotlaan;O3;62,55;5
2015-08-03 20:00:00+02:00;Den Haag-Bleriotlaan;NO2;15,26;2
2015-08-03 21:00:00+02:00;Den Haag-Bleriotlaan;O3;56,68;4
2015-08-03 21:00:00+02:00;Den Haag-Bleriotlaan;NO;1,67;1
2015-08-03 21:00:00+02:00;Den Haag-Bleriotlaan;NO2;18,96;2
2015-08-03 21:00:00+02:00;Den Haag-Bleriotlaan;PM10;14,67;2
2015-08-03 22:00:00+02:00;Den Haag-Bleriotlaan;O3;50,18;4
2015-08-03 22:00:00+02:00;Den Haag-Bleriotlaan;NO;1,1;1
2015-08-03 22:00:00+02:00;Den Haag-Bleriotlaan;NO2;22,27;3
2015-08-03 22:00:00+02:00;Den Haag-Bleriotlaan;PM10;9,55;1
2015-08-03 23:00:00+02:00;Den Haag-Bleriotlaan;NO;6,89;1
2015-08-03 23:00:00+02:00;Den Haag-Bleriotlaan;O3;16,24;2
2015-08-03 23:00:00+02:00;Den Haag-Bleriotlaan;NO2;52,52;5
2015-08-03 23:00:00+02:00;Den Haag-Bleriotlaan;PM10;10,83;2
2015-08-04 00:00:00+02:00;Den Haag-Bleriotlaan;PM10;23,63;3
2015-08-04 00:00:00+02:00;Den Haag-Bleriotlaan;NO;6,98;1
2015-08-04 00:00:00+02:00;Den Haag-Bleriotlaan;O3;17,06;2
2015-08-04 00:00:00+02:00;Den Haag-Bleriotlaan;NO2;49,35;5
2015-08-04 01:00:00+02:00;Den Haag-Bleriotlaan;NO2;53,49;5
2015-08-04 01:00:00+02:00;Den Haag-Bleriotlaan;PM10;18,51;2
2015-08-04 01:00:00+02:00;Den Haag-Bleriotlaan;O3;11,63;1
2015-08-04 01:00:00+02:00;Den Haag-Bleriotlaan;NO;5,56;1
